"id","text","unit","updated","firstPeriod","latestPeriod","active","variables"
"FOLK1A","Folketal den 1. i kvartalet","Antal","2023-08-11T08:00:00","2008K1","2023K3",TRUE,"område,køn,alder,civilstand,tid"
"FOLK1AM","Folketal den 1. i måneden","Antal","2023-09-08T08:00:00","2021M10","2023M08",TRUE,"område,køn,alder,tid"
"BEFOLK1","Befolkningen 1. januar","Antal","2023-03-01T08:00:00","1971","2023",TRUE,"køn,alder,civilstand,tid"
"BEFOLK2","Befolkningen 1. januar","Antal","2023-03-01T08:00:00","1901","2023",TRUE,"køn,alder,tid"
"FOLK3","Folketal 1. januar","Antal","2023-02-10T08:00:00","2008","2023",TRUE,"fødselsdag,fødselsmåned,fødselsår,tid"
"FOLK3FOD","Folketal 1. januar","Antal","2023-02-10T08:00:00","2008","2023",TRUE,"fødselsdag,fødselsmåned,fødeland,tid"
"BEF5","Folketal pr. 1. januar","Antal","2023-02-10T08:00:00","1990","2023",TRUE,"køn,alder,fødeland,tid"
"FT","Folketal (summariske tal fra folketællinger)","Antal","2023-02-10T08:00:00","1769","2023",TRUE,"hovedlandsdele,tid"
"HISB3","Nøgletal om befolkningen","Antal","2023-06-02T08:00:00","1901","2023",TRUE,"bevægelsesart,tid"
"BY1","Folketal 1. januar","Antal","2023-06-02T08:00:00","2010","2023",TRUE,"byområder og landdistrikter,alder,køn,tid"
"BY2","Folketal 1. januar","Antal","2023-06-02T08:00:00","2010","2023",TRUE,"kommune,bystørrelse,alder,køn,tid"
"BY3","Folketal 1. januar","-","2023-06-30T08:00:00","2017","2023",TRUE,"byområder og landdistrikter,folketal, areal og befolkningstæthed,tid"
"BEF4","Folketal 1. januar","Antal","2023-04-14T08:00:00","1901","2023",TRUE,"øer,tid"
"POSTNR1","Befolkningen 1. januar","Antal","2023-03-01T08:00:00","2010","2023",TRUE,"postnumre,køn,alder,tid"
"POSTNR2","Befolkningen 1. januar","Antal","2023-03-01T08:00:00","2010","2023",TRUE,"postnumre,køn,alder,tid"
"KM1","Folketal den 1. i kvartalet","Antal","2023-08-11T08:00:00","2007K1","2023K3",TRUE,"sogn,folkekirkemedlemsskab,tid"
"SOGN1","Folketal 1. januar","Antal","2023-03-03T08:00:00","2010","2023",TRUE,"sogn,køn,alder,tid"
"LABY02","Befolkningen i procent af alle i samme kommunegruppe","Pct.","2023-06-22T08:00:00","2008","2023",TRUE,"kommunegruppe,alder,tid"
"LABY03","Befolkningen i procent af alle i samme alder","Pct.","2023-06-22T08:00:00","2008","2023",TRUE,"kommunegruppe,alder,tid"
"LABY05","Personer, der bor i samme kommunegruppe som for 20 år siden","Pct.","2023-05-23T08:00:00","2007","2023",TRUE,"kommunegruppe,alder,tid"
"BEF5F","Personer født på Færøerne og bosat i Danmark 1. januar","Antal","2023-02-10T08:00:00","2008","2023",TRUE,"køn,alder,forældrenes fødested,tid"
"BEF5G","Personer født i Grønland og bosat i Danmark 1. januar","Antal","2023-02-10T08:00:00","2008","2023",TRUE,"køn,alder,forældrenes fødested,tid"
"BEV22","Befolkningens udvikling (foreløbig opgørelse)","Antal","2023-08-11T08:00:00","2007K2","2023K2",TRUE,"område,bevægelsesart,køn,tid"
"LABY01","Befolkningstilvækst pr. 1.000 indbyggere","Pr. 1.000 indb.","2023-06-13T08:00:00","2007","2022",TRUE,"kommunegruppe,bevægelsesart,tid"
"BEV107","Befolkningens udvikling","Antal","2023-02-10T08:00:00","2006","2022",TRUE,"område,bevægelsesart,køn,tid"
"KMSTA003","Befolkningens udvikling","Antal","2023-03-03T08:00:00","2015","2022",TRUE,"sogn,bevægelser,tid"
"GALDER","Gennemsnitsalder","Gns.","2023-02-10T08:00:00","2005","2023",TRUE,"kommune,køn,tid"
"KMGALDER","Gennemsnitsalder","Gns.","2023-03-03T08:00:00","2007","2023",TRUE,"sogn,køn,tid"
"FOLK1B","Folketal den 1. i kvartalet","Antal","2023-08-11T08:00:00","2008K1","2023K3",TRUE,"område,køn,alder,statsborgerskab,tid"
"FOLK1C","Folketal den 1. i kvartalet","Antal","2023-08-11T08:00:00","2008K1","2023K3",TRUE,"område,køn,alder,herkomst,oprindelsesland,tid"
"FOLK1D","Folketal den 1. i kvartalet","Antal","2023-08-11T08:00:00","2008K1","2023K3",TRUE,"område,køn,alder,statsborgerskab,tid"
"FOLK1E","Folketal den 1. i kvartalet","Antal","2023-08-11T08:00:00","2008K1","2023K3",TRUE,"område,køn,alder,herkomst,tid"
"FOLK2","Folketal 1. januar","Antal","2023-02-10T08:00:00","1980","2023",TRUE,"alder,køn,herkomst,statsborgerskab,oprindelsesland,tid"
"DKSTAT","Personer, der har fået dansk statsborgerskab","Antal","2023-02-10T08:00:00","1979","2022",TRUE,"køn,alder,tidligere statsborgerskab,tid"
"IEPCT","Herkomstgruppernes andel af hele befolkningen 1. januar","Pct.","2023-03-06T08:00:00","1980","2023",TRUE,"herkomst,tid"
"KMSTA001","Folketal 1. januar","Antal","2023-03-03T08:00:00","2008","2023",TRUE,"sogn,herkomst,folkekirkemedlemsskab,tid"
"KRYDS1","Folketal 1. januar","Antal","2023-02-10T08:00:00","2019","2023",TRUE,"Hovedpersons herkomst,Hovedpersons fødeland,Hovedpersons statsborgerskab,Moders fødeland,moders statsborgerskab,Faders fødeland,faders statsborgerskab,tid"
"KRYDS2","Personer med dansk oprindelse 1. januar","Antal","2023-02-10T08:00:00","2019","2023",TRUE,"Hovedpersons fødeland,forældres fødeland og statsborgerskab,hovedpersonens alder,tid"
"KRYDS3","Folketal 1. januar","Antal","2023-02-10T08:00:00","2019","2023",TRUE,"Hovedpersons herkomst,Hovedpersons fødeland,Moders fødeland,Faders fødeland,tid"
"KRYDS4","Folketal 1. januar","Antal","2023-02-10T08:00:00","2019","2023",TRUE,"Hovedpersons herkomst,forældres fødeland og statsborgerskab,hovedpersonens alder,tid"
"INDOPH1","Indvandrere 1. januar","Antal","2023-03-28T08:00:00","2008","2023",TRUE,"første opholdsgrundlag,område,tid"
"INDOPH2","Indvandrere 1. januar","Antal","2023-03-28T08:00:00","2008","2023",TRUE,"første opholdsgrundlag,oprindelseslandegruppe,tid"
"INDOPH3","Indvandrere 1. januar","Antal","2023-03-28T08:00:00","2008","2023",TRUE,"nuværende opholdsgrundlag,område,tid"
"INDOPH4","Indvandrere 1. januar","Antal","2023-03-28T08:00:00","2008","2023",TRUE,"nuværende opholdsgrundlag,oprindelseslandegruppe,tid"
"EB1","Børn af efterkommere 1. januar","Antal","2023-02-10T08:00:00","2007","2023",TRUE,"Oprindelig herkomst,køn,alder,oprindelsesland,tid"
"EB2","Børn af efterkommere 1. januar","Antal","2023-02-10T08:00:00","2007","2023",TRUE,"Oprindelig herkomst,køn,alder,oprindelsesland,tid"
"EB3","Børn af efterkommere 1. januar","Antal","2023-02-10T08:00:00","2007","2023",TRUE,"Oprindelig herkomst,køn,alder,oprindelsesland,område,tid"
"EB4","Folketal 1. januar","Antal","2023-02-10T08:00:00","2008","2023",TRUE,"herkomst,køn,alder,oprindelsesland,område,tid"
"VAN5","Asylansøgere","Antal","2023-08-18T08:00:00","1990K1","2023K2",TRUE,"statsborgerskab,asyltype,tid"
"VAN5RKA","Asylansøgere (registreringstallet)","Antal","2023-08-18T08:00:00","2014K1","2023K2",TRUE,"statsborgerskab,køn,alder,tid"
"VAN66","Opholdstilladelser (år)","Antal","2023-03-28T08:00:00","1997","2022",TRUE,"statsborgerskab,opholdstilladelse,tid"
"VAN66KA","Opholdstilladelser (år)","Antal","2023-03-28T08:00:00","2014","2022",TRUE,"statsborgerskab,opholdstilladelse,køn,alder,tid"
"VAN66P","Permanente opholdstilladelser (år)","Antal","2023-03-28T08:00:00","2003","2022",TRUE,"statsborgerskab,opholdstilladelse,tid"
"VAN77","Opholdstilladelser (kvartal)","Antal","2023-08-18T08:00:00","1997K1","2023K2",TRUE,"statsborgerskab,opholdstilladelse,tid"
"VAN77KA","Opholdstilladelser (kvartal)","Antal","2023-08-18T08:00:00","2014K1","2023K2",TRUE,"statsborgerskab,opholdstilladelse,køn,alder,tid"
"VAN8K","Indvandringer (foreløbig opgørelse) (kvartal)","Antal","2023-08-18T08:00:00","2016K1","2023K2",TRUE,"statsborgerskab,køn,opholdstilladelse,tid"
"VAN8A","Indvandringer (år)","Antal","2023-03-28T08:00:00","1997","2022",TRUE,"statsborgerskab,køn,opholdstilladelse,tid"
"FRDK123","Befolkningsfremskrivning 2023 for hele landet","Antal","2023-06-01T08:00:00","2023","2070",TRUE,"herkomst,køn,alder,tid"
"FRLD123","Befolkningsfremskrivning 2023","Antal","2023-06-01T08:00:00","2023","2050",TRUE,"område,alder,køn,tid"
"FRKM123","Befolkningsfremskrivning 2023","Antal","2023-06-01T08:00:00","2023","2050",TRUE,"område,alder,køn,tid"
"FRDK223","Nøgletal 2023: Fremskrivning af befolkningens bevægelser","Antal","2023-06-01T08:00:00","2023","2070",TRUE,"herkomst,bevægelsesart,tid"
"FRLD223","Nøgletal 2023: Fremskrivning af befolkningens bevægelse","Antal","2023-06-01T08:00:00","2023","2050",TRUE,"område,bevægelsesart,tid"
"FRKM223","Nøgletal 2023: Fremskrivning af befolkningens bevægelser","Antal","2023-06-01T08:00:00","2023","2050",TRUE,"område,bevægelsesart,tid"
"FRDK323","Forudsætninger vedrørende fertilitet til befolkningsfremskrivningen 2023","Fertilitetskvotient","2023-06-02T08:00:00","2023","2069",TRUE,"alder,herkomst,tid"
"FRDK423","Forudsætninger vedrørende dødelighed til befolkningsfremskrivningen 2023","-","2023-06-01T08:00:00","2023","2069",TRUE,"køn,alder,dødelighedstavle,tid"
"FRDK523","Forudsætninger vedrørende vandringer til befolkningsfremskrivningen 2023","Antal","2023-06-01T08:00:00","2023","2069",TRUE,"køn,alder,herkomst,bevægelse,tid"
"FRBEV23","Befolkningens udvikling","Antal","2023-06-01T08:00:00","1992","2022",TRUE,"bevægelsesart,køn,tid"
"FOD","Levendefødte","Antal","2023-02-10T08:00:00","1973","2022",TRUE,"moders alder,barnets køn,tid"
"FODIE","Levendefødte","Antal","2023-02-10T08:00:00","2007","2022",TRUE,"område,moders herkomst,moders oprindelsesland,moders statsborgerskab,moders alder,barnets køn,tid"
"FODDAG","Levendefødte","Antal","2023-02-10T08:00:00","2007","2022",TRUE,"fødselsdag,fødselsmåned,tid"
"FODPM","Levendefødte","Antal","2023-02-10T08:00:00","2007","2022",TRUE,"moders alder,levendefødtnummer,tid"
"FODPF","Levendefødte","Antal","2023-08-11T08:00:00","2007","2022",TRUE,"faders alder,levendefødtnummer,tid"
"BEV3A","Levendefødte og døde","Antal","2023-08-11T08:00:00","1901M01","2023M06",TRUE,"bevægelse,tid"
"KM3","Levendefødte og døde","Antal","2023-08-11T08:00:00","2007K1","2023K2",TRUE,"sogn,bevægelse,tid"
"FODL","Levendefødte og dødfødte","Antal","2019-12-18T08:00:00","1997","2018",TRUE,"fødselslængde,levende-/dødfødte,fødselstype,køn,tid"
"FODV","Levendefødte og dødfødte","Antal","2019-12-18T08:00:00","1997","2018",TRUE,"fødselsvægt,levende-/dødfødte,fødselstype,køn,tid"
"FOD8","Enkelt- og flerfødsler","Antal","2019-12-18T08:00:00","1850","2018",TRUE,"fødselstype,tid"
"FOD9","Flerfødsler fordelt","Antal","2019-12-18T08:00:00","1911","2018",TRUE,"fødselstype,tid"
"FOD11","Gennemsnitsalder for fødende kvinder og nybagte fædre","-","2023-02-10T08:00:00","1901","2022",TRUE,"alder,tid"
"FOD111","Gennemsnitsalder for fødende kvinder og nybagte fædre","Gns.","2023-02-10T08:00:00","2006","2022",TRUE,"område,alder,tid"
"FORAELD","Antal forældre 1. januar","Antal","2023-02-10T08:00:00","1986","2023",TRUE,"køn,alder,antal børn,tid"
"BARNLOS","Barnløse pr. 1.000","Pr. 1.000 indb.","2023-02-10T08:00:00","1986","2023",TRUE,"køn,alder,tid"
